id,model,connectance_mod,complexity_mod,distance_mod,basal_mod,top_mod,S1_mod,S2_mod,S4_mod,S5_mod
27,hierarchy,0.013479121500612687,0.9707258915908453,1.0,21.0,27.0,159.0,0.0,113.0,72.0
27,maxent,0.013349946600213599,0.8997249319773646,2.0,9.0,97.0,0.0,0.0,2807.0,95.0
28,random,0.1388888888888889,0.9393490283496038,1.0,0.0,2.0,20.0,4.0,10.0,4.0
28,niche,0.09876543209876543,0.9195946437021756,2.0,5.0,5.0,18.0,6.0,26.0,42.0
28,cascade,0.10802469135802469,0.9328414182575592,4.0,4.0,5.0,45.0,4.0,41.0,27.0
28,hierarchy,0.11728395061728394,0.9443731325803081,1.0,3.0,2.0,27.0,8.0,20.0,18.0
28,maxent,0.11728395061728394,0.9162271720393652,2.0,4.0,5.0,24.0,9.0,32.0,29.0
947,random,0.15512465373961218,0.928861581131481,2.0,1.0,0.0,61.0,9.0,25.0,30.0
947,niche,0.14681440443213298,0.9038372721352471,2.0,4.0,0.0,20.0,14.0,30.0,44.0
947,cascade,0.15789473684210525,0.9133107521735793,3.0,3.0,3.0,85.0,30.0,66.0,70.0
947,hierarchy,0.14681440443213298,0.9201586238250058,3.0,4.0,0.0,21.0,1.0,8.0,9.0
947,maxent,0.16066481994459833,0.9125341861365986,2.0,2.0,3.0,38.0,32.0,80.0,88.0
1262,random,0.10798816568047337,0.9352096099851795,2.0,2.0,1.0,113.0,13.0,45.0,66.0
1262,niche,0.1625,0.8694062005392553,2.0,5.0,6.0,52.0,31.0,88.0,120.0
1262,cascade,0.09763313609467456,0.9305768147190253,3.0,6.0,3.0,103.0,14.0,71.0,100.0
1262,hierarchy,0.08727810650887574,0.9501658514717461,2.0,3.0,0.0,56.0,2.0,34.0,34.0
1262,maxent,0.08875739644970414,0.9043071561378191,2.0,14.0,7.0,5.0,11.0,116.0,212.0
1261,random,0.08284023668639054,0.9700153668485653,2.0,4.0,3.0,5.0,0.0,1.0,3.0
1261,niche,0.1,0.9605055722507884,2.0,4.0,1.0,2.0,1.0,0.0,0.0
1261,cascade,0.11242603550295859,0.9421452407963647,3.0,3.0,4.0,11.0,4.0,14.0,10.0
1261,hierarchy,0.1111111111111111,0.9492127814974912,2.0,2.0,3.0,7.0,1.0,7.0,3.0
1261,maxent,0.10059171597633136,0.9287284736407072,3.0,7.0,3.0,3.0,4.0,12.0,18.0
1219,random,0.05835459183673469,0.9420606564370738,1.0,0.0,3.0,321.0,22.0,152.0,148.0
